V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q26,Q1,Q2,Q2,Q45_7,Q45_9,Q20_7,Q20_9,Q18_6,Q18_7,Q26_7,Q26_9,Q18_4,Q18_5,Q19_4,Q19_5,Q19_1,Q19_2,Q8,Q9,Q15,Q16,Q12,DO-BR-FL_17,DO-BR-FL_35,DO-BR-FL_31,DO-BR-FL_48,DO-BR-FL_56,DO-BR-FL_52,DO-BL-Treatment,DO-BL-Control,DO-Q-Q1,DO-Q-Q2,LocationLatitude,LocationLongitude,LocationAccuracy,
R_br7TR1u7oyygaWZ,Default Response Set,Anonymous,,,184.178.47.11,0,2016-04-23 03:14:07,2016-04-23 03:17:00,1,4082457,18-25,Democrat,Strong,,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,Very familiar,Very familiar,Male,Some College,"Management, professional, and related ",Living w/ partner,Kansas,Treatment,,,,,,Q45|Q20|Q18,,3|2|1,1|2,37.708297729492,-97.22509765625,-1,
R_2bQzbplIg4tmfBe,Default Response Set,Anonymous,,,71.197.199.36,0,2016-04-23 03:14:05,2016-04-23 03:17:02,1,9453560,26-34,Democrat,Moderate,,,,,,,,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Extremely familiar,Extremely familiar,Male,4-year College Degree,Other,Living w/ partner,Washington,,Control,,,,,,Q26|Q19|Q18,2|1|3,2|1,47.197998046875,-122.44729614258,-1,
R_Ugb7sIVXFXv7vEd,Default Response Set,Anonymous,,,108.26.198.195,0,2016-04-23 03:14:26,2016-04-23 03:17:26,1,5122299,18-25,Independent,,Democrat,Agree,Agree,Agree,Strongly Agree,Agree,Agree,,,,,,,Very familiar,Very familiar,Male,Some College,Sales and office ,"Single, never married",Massachusetts,Treatment,,,,,,Q45|Q20|Q18,,3|2|1,2|1,42.350006103516,-71.226898193359,-1,
R_2XhbhECsmJWqCp6,Default Response Set,Anonymous,,,115.66.86.162,0,2016-04-23 03:14:42,2016-04-23 03:17:43,1,9963317,45-54,Democrat,Weak,,Disagree,Disagree,Agree,Agree,Agree,Agree,,,,,,,Very familiar,Extremely familiar,Male,4-year College Degree,"Management, professional, and related ",Living w/ partner,Illinois,,,Treatment,,,,Q45|Q18|Q20,,1|2|3,1|2,1.2931060791016,103.85580444336,-1,
R_2OZKhzeHXbid3wg,Default Response Set,Anonymous,,,45.51.73.122,0,2016-04-23 03:14:24,2016-04-23 03:18:36,1,5246701,26-34,Independent,,Democrat,,,,,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Very familiar,Extremely familiar,Female,Less than High School,Other,"Single, never married",California,,Control,,,,,,Q26|Q19|Q18,1|3|2,1|2,33.926895141602,-117.86119842529,-1,
R_bEBIVmKnn5Pn8Bz,Default Response Set,Anonymous,,,192.180.31.179,0,2016-04-23 03:14:26,2016-04-23 03:18:44,1,8345085,55-64,Democrat,Strong,,,,,,,,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Moderately familiar,Very familiar,Male,4-year College Degree,Government ,Living w/ partner,Kentucky,,,Control,,,,,Q26|Q18|Q19,3|2|1,2|1,39.066802978516,-84.509399414062,-1,
R_12Jb84NONkk35HU,Default Response Set,Anonymous,,,50.125.139.178,0,2016-04-23 03:14:30,2016-04-23 03:19:17,1,8387084,45-54,Democrat,Moderate,,,,,,,,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Moderately familiar,Moderately familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",Washington,,,Control,,,,,Q26|Q18|Q19,2|3|1,2|1,47.942199707031,-122.23979949951,-1,
R_3r2PqXy5xuT7UKE,Default Response Set,Anonymous,,,174.52.185.63,0,2016-04-23 03:14:44,2016-04-23 03:19:30,1,5714814,26-34,Democrat,Moderate,,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,Extremely familiar,Very familiar,Male,Some College,Sales and office ,Living w/ partner,Utah,,Treatment,,,,,Q45|Q20|Q18,,2|1|3,2|1,40.705307006836,-112.08480072021,-1,
R_2691gMk02HK95wy,Default Response Set,Anonymous,,,66.87.118.35,0,2016-04-23 03:13:02,2016-04-23 03:20:12,1,5058396,26-34,Democrat,Weak,,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,,,,,,,Very familiar,Very familiar,Male,2-year College Degree,Service ,"Single, never married",California,,Treatment,,,,,Q45|Q20|Q18,,1|2|3,1|2,37.789794921875,-122.24569702148,-1,
R_2dnoCY3gbs6CFNn,Default Response Set,Anonymous,,,50.181.158.58,0,2016-04-23 03:18:05,2016-04-23 03:20:41,1,2943340,26-34,Democrat,Strong,,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Disagree,,,,,,,Extremely familiar,Extremely familiar,Female,4-year College Degree,Other,"Single, never married",Washington,,Treatment,,,,,Q45|Q20|Q18,,1|2|3,1|2,47.57600402832,-122.39950561523,-1,
R_2trk14ttjNJoMq7,Default Response Set,Anonymous,,,50.166.24.136,0,2016-04-23 03:18:16,2016-04-23 03:21:07,1,7081728,26-34,Democrat,Moderate,,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,,,,,,,Moderately familiar,Very familiar,Female,4-year College Degree,Sales and office ,"Single, never married",New Jersey,,Treatment,,,,,Q45|Q18|Q20,,3|1|2,1|2,40.254898071289,-74.787498474121,-1,
R_dhzfaAxiQcjT7dn,Default Response Set,Anonymous,,,75.66.31.64,0,2016-04-23 03:18:17,2016-04-23 03:21:48,1,1501739,26-34,Democrat,Strong,,,,,,,,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Very familiar,Moderately familiar,Female,Some College,Sales and office ,"Single, never married",Louisiana,,Control,,,,,,Q26|Q18|Q19,1|2|3,1|2,32.393798828125,-92.232902526855,-1,
R_2yd2Kfxs09OOdWE,Default Response Set,Anonymous,,,64.121.86.78,0,2016-04-23 03:19:35,2016-04-23 03:22:59,1,164856,35-44,Democrat,Moderate,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,,,,,,,Moderately familiar,Very familiar,Male,4-year College Degree,Sales and office ,Married with children,Pennsylvania,,,Treatment,,,,Q45|Q18|Q20,,2|1|3,1|2,40.502502441406,-75.586799621582,-1,
R_UFTd0OukUNHU4ed,Default Response Set,Anonymous,,,172.2.140.201,0,2016-04-23 03:19:22,2016-04-23 03:23:27,1,7886592,26-34,Democrat,Moderate,,,,,,,,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Very familiar,Very familiar,Male,4-year College Degree,"Management, professional, and related ",Married without children,California,,Control,,,,,,Q26|Q18|Q19,1|2|3,1|2,32.74479675293,-117.1701965332,-1,
R_1PZcGiKuzeA26Xk,Default Response Set,Anonymous,,,73.209.169.219,0,2016-04-23 03:21:14,2016-04-23 03:23:44,1,9264427,26-34,Democrat,Strong,,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Moderately familiar,Slightly familiar,Female,Some College,"Management, professional, and related ",Married with children,Illinois,,Treatment,,,,,Q45|Q20|Q18,,2|1|3,1|2,41.963806152344,-87.816703796387,-1,
R_3sgM2ouNDwFSlQT,Default Response Set,Anonymous,,,205.164.4.170,0,2016-04-23 03:22:08,2016-04-23 03:24:31,1,9234367,18-25,Democrat,Strong,,,,,,,,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Slightly familiar,Moderately familiar,Female,4-year College Degree,"Production, transportation, and material moving ","Single, never married",California,Control,,,,,,,Q26|Q18|Q19,2|1|3,1|2,37.333801269531,-121.89149475098,-1,
R_1Y8dhnpWGQDXk1H,Default Response Set,Anonymous,,,178.62.85.75,0,2016-04-23 03:23:49,2016-04-23 03:25:40,1,7164051,18-25,Independent,,Democrat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,Very familiar,Extremely familiar,Female,Some College,Unemployed,"Single, never married",California,Treatment,,,,,,Q45|Q18|Q20,,1|3|2,2|1,51.514404296875,-0.094100952148438,-1,
R_3kkeCl16ALyQWRe,Default Response Set,Anonymous,,,73.158.2.108,0,2016-04-23 03:22:56,2016-04-23 03:25:59,1,4549730,18-25,Democrat,Strong,,,,,,,,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,Male,Some College,Sales and office ,"Single, never married",California,Control,,,,,,,Q26|Q19|Q18,3|2|1,2|1,34.820999145508,-120.41020202637,-1,
R_dd8eIPrq5kxB7PP,Default Response Set,Anonymous,,,50.153.181.47,0,2016-04-23 03:26:38,2016-04-23 03:28:02,1,3825135,26-34,Democrat,Weak,,,,,,,,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very familiar,Extremely familiar,Female,Some College,"Management, professional, and related ",Living w/ partner,Virginia,,Control,,,,,,Q26|Q18|Q19,1|2|3,2|1,37.552200317383,-77.458198547363,-1,
R_3LbtsQPjBHmXpMd,Default Response Set,Anonymous,,,173.52.103.98,0,2016-04-23 03:19:57,2016-04-23 03:30:16,1,5815242,35-44,Independent,,Democrat,,,,,,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Not familiar at all,Very familiar,Male,4-year College Degree,Unemployed,"Single, never married",New York,,,Control,,,,,Q26|Q19|Q18,2|1|3,1|2,40.730697631836,-73.748100280762,-1,
R_2SJq5tHSBlwbc6d,Default Response Set,Anonymous,,,98.26.233.41,0,2016-04-23 03:16:41,2016-04-23 03:33:13,1,4625797,45-54,Independent,,Republican,,,,,,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Extremely familiar,Moderately familiar,Female,4-year College Degree,Unemployed,Divorced,North Carolina,,,,,,Control,,Q26|Q18|Q19,3|2|1,1|2,36.204803466797,-79.673400878906,-1,
R_3MKX6TItf9jHCK2,Default Response Set,Anonymous,,,50.82.101.133,0,2016-04-23 03:25:33,2016-04-23 03:33:47,1,483181,26-34,Republican,Weak,,,,,,,,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Very familiar,Moderately familiar,Male,High School / GED,Other,"Single, never married",Wisconsin,,,,,Control,,,Q26|Q19|Q18,1|3|2,2|1,43.059997558594,-91.056800842285,-1,
R_2DOcxrBY8rUQ04d,Default Response Set,Anonymous,,,173.187.16.76,0,2016-04-23 03:27:39,2016-04-23 03:33:55,1,1234611,45-54,Republican,Weak,,Agree,Agree,Disagree,Disagree,Agree,Agree,,,,,,,Moderately familiar,Very familiar,Female,4-year College Degree,"Management, professional, and related ",Living w/ partner,New Mexico,,,,,,Treatment,Q45|Q18|Q20,,1|3|2,2|1,36.000793457031,-106.13159942627,-1,
R_0rLNsqS7T0urCed,Default Response Set,Anonymous,,,12.183.188.166,0,2016-04-23 03:30:28,2016-04-23 03:34:26,1,339472,18-25,Independent,,Democrat,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,,,,,,,Very familiar,Very familiar,Female,High School / GED,Unemployed,"Single, never married",California,Treatment,,,,,,Q45|Q18|Q20,,2|3|1,1|2,40.586502075195,-122.39170074463,-1,
R_2aVNGgIi0FCMuTs,Default Response Set,Anonymous,,,75.88.151.35,0,2016-04-23 03:34:45,2016-04-23 03:38:32,1,9749808,45-54,Independent,,Republican,,,,,,,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Very familiar,Moderately familiar,Male,4-year College Degree,"Management, professional, and related ",Married with children,Iowa,,,,,,Control,,Q26|Q18|Q19,2|3|1,2|1,41.133102416992,-91.447998046875,-1,
R_2Y9CsFHsibH7Sx6,Default Response Set,Anonymous,,,174.102.6.19,0,2016-04-23 03:36:33,2016-04-23 03:38:48,1,3354911,26-34,Democrat,Weak,,,,,,,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Very familiar,Very familiar,Male,4-year College Degree,Other,"Single, never married",Ohio,,Control,,,,,,Q26|Q18|Q19,3|2|1,1|2,40.733093261719,-84.144599914551,-1,
R_3qWJBV8IFNRbOPO,Default Response Set,Anonymous,,,115.242.211.79,0,2016-04-23 03:37:58,2016-04-23 03:43:26,1,7919805,26-34,Democrat,Moderate,,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,,,,,,,Slightly familiar,Slightly familiar,Female,4-year College Degree,"Management, professional, and related ",Married with children,Maryland,,Treatment,,,,,Q45|Q18|Q20,,1|3|2,1|2,13.083297729492,80.283294677734,-1,
R_6VhvdFLlG4VNO01,Default Response Set,Anonymous,,,98.80.198.35,0,2016-04-23 03:42:03,2016-04-23 03:45:46,1,5991912,26-34,Republican,Moderate,,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,,,,,,,Very familiar,Very familiar,Male,4-year College Degree,"Management, professional, and related ","Single, never married",Georgia,,,,,Treatment,,Q45|Q18|Q20,,1|3|2,1|2,32.464294433594,-82.949501037598,-1,
R_1FrFQ2nGkoYefSe,Default Response Set,Anonymous,,,71.12.252.56,0,2016-04-23 03:43:10,2016-04-23 03:45:55,1,1976917,35-44,Independent,,Republican,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,,,,,,,Extremely familiar,Moderately familiar,Male,Some College,Unemployed,"Single, never married",Louisiana,,,,,,Treatment,Q45|Q18|Q20,,2|3|1,2|1,30.257400512695,-89.71900177002,-1,
R_1qebajT9wnaf1ff,Default Response Set,Anonymous,,,198.254.125.219,0,2016-04-23 03:44:57,2016-04-23 03:48:10,1,7287031,45-54,Democrat,Strong,,,,,,,,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",New York,,,Control,,,,,Q26|Q19|Q18,1|3|2,2|1,40.795806884766,-73.977500915527,-1,
R_3pa0E9UHscPZrWw,Default Response Set,Anonymous,,,67.11.91.38,0,2016-04-23 03:44:06,2016-04-23 03:48:14,1,1327783,26-34,Republican,Moderate,,,,,,,,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Slightly familiar,Slightly familiar,Male,Some College,Other,"Single, never married",Texas,,,,,Control,,,Q26|Q18|Q19,2|1|3,2|1,26.154602050781,-98.204498291016,-1,
R_33r2QY9C824GmpB,Default Response Set,Anonymous,,,75.167.219.158,0,2016-04-23 03:45:28,2016-04-23 03:50:55,1,5304258,18-25,Democrat,Moderate,,,,,,,,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Moderately familiar,Extremely familiar,Female,Some College,Unemployed,"Single, never married",Iowa,Control,,,,,,,Q26|Q19|Q18,3|1|2,2|1,41.648193359375,-91.571296691895,-1,
R_3IQRunquHvdi4FP,Default Response Set,Anonymous,,,75.111.170.13,0,2016-04-23 04:00:27,2016-04-23 04:05:28,1,1916582,45-54,Republican,Moderate,,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Moderately familiar,Moderately familiar,Male,High School / GED,"Construction, extraction, and maintenance ",Widowed,Texas,,,,,,Treatment,Q45|Q20|Q18,,2|3|1,2|1,33.472106933594,-101.93979644775,-1,
R_YQUTQDjzEdZujGp,Default Response Set,Anonymous,,,104.173.56.45,0,2016-04-23 04:25:05,2016-04-23 04:27:37,1,7635609,26-34,Independent,,Democrat,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,,,,,,,Moderately familiar,Moderately familiar,Female,Some College,Unemployed,"Single, never married",California,,Treatment,,,,,Q45|Q18|Q20,,3|1|2,1|2,33.642501831055,-116.83560180664,-1,
R_3iQmyyWZSIHieIS,Default Response Set,Anonymous,,,162.198.166.54,0,2016-04-23 04:23:45,2016-04-23 04:27:58,1,8417779,55-64,Democrat,Strong,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,,,,,,,Slightly familiar,Moderately familiar,Female,4-year College Degree,"Management, professional, and related ",Widowed,Kentucky,,,Treatment,,,,Q45|Q18|Q20,,3|2|1,1|2,37.968505859375,-84.146003723145,-1,
R_12KNdwIsNWxbxMt,Default Response Set,Anonymous,,,173.88.82.82,0,2016-04-23 04:26:58,2016-04-23 04:28:38,1,2449698,18-25,Independent,,Democrat,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,,,,,,,Not familiar at all,Slightly familiar,Male,Some College,Other,"Single, never married",Ohio,Treatment,,,,,,Q45|Q18|Q20,,1|2|3,2|1,38.79150390625,-82.921699523926,-1,
R_3lJOXXDfJ2CI8q4,Default Response Set,Anonymous,,,68.231.160.36,0,2016-04-23 04:30:03,2016-04-23 04:33:31,1,1979984,35-44,Democrat,Strong,,Agree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,Slightly familiar,Very familiar,Female,Masters Degree,"Management, professional, and related ","Single, never married",Arizona,,,Treatment,,,,Q45|Q18|Q20,,3|1|2,2|1,33.435592651367,-112.34960174561,-1,
R_3KIU4aVeZ6pYHXc,Default Response Set,Anonymous,,,70.210.8.22,0,2016-04-23 04:42:45,2016-04-23 04:46:33,1,4264750,35-44,Independent,,Republican,,,,,,,Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,Female,Some College,Government ,Married without children,Florida,,,,,,Control,,Q26|Q18|Q19,1|2|3,1|2,36.208099365234,-86.29109954834,-1,
R_1fZ4uTKaFnug8dA,Default Response Set,Anonymous,,,208.87.237.201,0,2016-04-23 05:06:37,2016-04-23 05:08:10,1,1944871,18-25,Democrat,Moderate,,,,,,,,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly familiar,Slightly familiar,Female,4-year College Degree,Service ,"Single, never married",Iowa,Control,,,,,,,Q26|Q18|Q19,3|2|1,1|2,37.751007080078,-97.821998596191,-1,
R_1pm9bQCBrdFyIF9,Default Response Set,Anonymous,,,76.171.230.102,0,2016-04-23 05:10:43,2016-04-23 05:14:09,1,8514050,26-34,Democrat,Weak,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Extremely familiar,Extremely familiar,Male,High School / GED,Unemployed,"Single, never married",California,,Control,,,,,,Q26|Q18|Q19,3|1|2,1|2,33.912902832031,-118.34390258789,-1,
R_2X7OOSc0hJoTInS,Default Response Set,Anonymous,,,24.110.32.97,0,2016-04-23 05:13:53,2016-04-23 05:18:07,1,8166158,45-54,Independent,,Republican,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Extremely familiar,Moderately familiar,Male,4-year College Degree,Other,Married without children,Florida,,,,,,Treatment,Q45|Q20|Q18,,3|1|2,1|2,29.300506591797,-81.194801330566,-1,
R_23dCxQYml0nBBYa,Default Response Set,Anonymous,,,64.71.74.64,0,2016-04-23 05:20:58,2016-04-23 05:23:22,1,9754301,18-25,Independent,,Democrat,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,,,,,,,Moderately familiar,Slightly familiar,Female,4-year College Degree,Government ,"Single, never married",Florida,Treatment,,,,,,Q45|Q20|Q18,,2|3|1,1|2,26.669296264648,-80.059303283691,-1,
R_1l9vyrjXYMDky4N,Default Response Set,Anonymous,,,205.164.4.26,0,2016-04-23 05:31:33,2016-04-23 05:33:05,1,2067729,18-25,Democrat,Moderate,,,,,,,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Slightly familiar,Moderately familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",California,Control,,,,,,,Q26|Q18|Q19,1|2|3,1|2,37.333801269531,-121.89149475098,-1,
R_5iqqhBqdutd1GDP,Default Response Set,Anonymous,,,173.246.204.130,0,2016-04-23 05:47:22,2016-04-23 05:49:28,1,9792595,26-34,Independent,,Democrat,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,,,,,,,Very familiar,Extremely familiar,Female,4-year College Degree,Other,Married with children,North Carolina,,Treatment,,,,,Q45|Q18|Q20,,1|3|2,1|2,35.390197753906,-82.372497558594,-1,
R_1IK1FKEaCiqSr9C,Default Response Set,Anonymous,,,67.11.74.2,0,2016-04-23 06:01:27,2016-04-23 06:06:42,1,7622336,18-25,Democrat,Strong,,,,,,,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Very familiar,Extremely familiar,Male,High School / GED,Service ,Married with children,Texas,Control,,,,,,,Q26|Q19|Q18,3|2|1,2|1,26.162902832031,-98.055999755859,-1,
