V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q21_1,Q21_2,Q21_3,Q21_4,Q6_6,Q6_7,Q6_8,Q22_1,Q22_2,Q22_3,Q22_4,Q26,Q1,Q2,Q2,Q23_1,Q23_2,Q23_3,Q23_4,Q20_7,Q20_9,Q27_1,Q27_2,Q27_3,Q27_4,Q18_6,Q18_7,Q24_1,Q24_2,Q24_3,Q24_4,Q18_4,Q18_5,Q28_1,Q28_2,Q28_3,Q28_4,Q19_4,Q19_5,Q19_1,Q19_2,Q25_1,Q25_2,Q25_3,Q25_4,Q8,Q9,Q15,Q16,Q12,LocationLatitude,LocationLongitude,LocationAccuracy,
R_22PKyRRFQ7A5hL2,Default Response Set,Anonymous,,,173.240.195.221,0,2016-04-03 23:12:27,2016-04-03 23:15:54,1,1535060,1,2,3,4,Neutral,Negative,Positive,1,2,3,4,26-34,Independent,,Republican,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Disagree,,,,,Agree,Neither Agree nor Disagree,Moderately familiar,Slightly familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",Iowa,41.563507080078,-93.784202575684,-1,
R_1dEWjCQMI8BrRKp,Default Response Set,Anonymous,,,173.171.16.63,0,2016-04-03 23:12:39,2016-04-03 23:16:14,1,4007740,1,2,3,4,Positive,Positive,Neutral,1,2,3,4,45-54,Republican,Strong,,,,,,Agree,Agree,,,,,Strongly Agree,Agree,,,,,,,,,,,,,Extremely familiar,Very familiar,1,2,3,4,Male,2-year College Degree,Service ,"Single, never married",Florida,28.377502441406,-82.500503540039,-1,
R_3rYt7o86dZvuFTZ,Default Response Set,Anonymous,,,50.138.77.114,0,2016-04-03 23:16:09,2016-04-03 23:17:05,1,7230301,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Republican,Moderate,,,,,,Agree,Agree,,,,,Agree,Strongly Agree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Female,4-year College Degree,Sales and office ,Married with children,Florida,25.93879699707,-80.214401245117,-1,
R_sRpHLg6eh43HZ3b,Default Response Set,Anonymous,,,74.213.111.82,0,2016-04-03 23:15:06,2016-04-03 23:17:18,1,7413878,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,18-25,Democrat,Moderate,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,,,,,,,Extremely familiar,Not familiar at all,1,2,3,4,Female,High School / GED,Sales and office ,"Single, never married",New York,18.475692749023,-67.124702453613,-1,
R_1MXtiYqurnWSGzb,Default Response Set,Anonymous,,,40.139.94.147,0,2016-04-03 23:15:18,2016-04-03 23:17:54,1,7616454,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,35-44,Independent,,Republican,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Agree,Very familiar,Moderately familiar,1,2,3,4,Male,Some College,Service ,"Single, never married",Michigan,42.292404174805,-85.690803527832,-1,
R_3exeZu4iztMkuos,Default Response Set,Anonymous,,,73.166.200.57,0,2016-04-03 23:12:37,2016-04-03 23:17:58,1,2119557,1,2,3,4,Neutral,Positive,Negative,1,2,3,4,26-34,Independent,,Republican,,,,,Agree,Neither Agree nor Disagree,,,,,Disagree,Neither Agree nor Disagree,,,,,,,,,,,,,Slightly familiar,Moderately familiar,1,2,3,4,Male,High School / GED,Service ,"Single, never married",Texas,30.001602172852,-95.44750213623,-1,
R_2qwo8kxHMcRHKnm,Default Response Set,Anonymous,,,54.152.235.199,0,2016-04-03 23:14:05,2016-04-03 23:18:03,1,8791894,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,45-54,Democrat,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,1,2,3,4,Male,4-year College Degree,Sales and office ,Married with children,Louisiana,39.033493041992,-77.48380279541,-1,
R_VUswGzVPttPzBLz,Default Response Set,Anonymous,,,50.183.210.110,0,2016-04-03 23:16:18,2016-04-03 23:18:06,1,8664392,1,2,3,4,Very Negative,Very Negative,Negative,1,2,3,4,35-44,Independent,,Republican,,,,,Strongly Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Moderately familiar,1,2,3,4,Female,High School / GED,Other,"Single, never married",Colorado,38.762893676758,-104.84790039062,-1,
R_2AQAYnChxTYivno,Default Response Set,Anonymous,,,73.163.11.116,0,2016-04-03 23:15:49,2016-04-03 23:18:07,1,6374802,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,18-25,Independent,,Democrat,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Female,Some College,Unemployed,"Single, never married",Delaware,38.667999267578,-75.397300720215,-1,
R_2DUhS5Cwz7K66RI,Default Response Set,Anonymous,,,173.19.129.120,0,2016-04-03 23:11:47,2016-04-03 23:18:11,1,7687379,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Neither Agree nor Disagree,Disagree,Extremely familiar,Extremely familiar,1,2,3,4,Female,Some College,Other,"Single, never married",Illinois,37.768005371094,-89.327499389648,-1,
R_2tg574BZGROj484,Default Response Set,Anonymous,,,174.134.36.67,0,2016-04-03 23:15:51,2016-04-03 23:18:22,1,4017450,1,2,3,4,Negative,Neutral,Negative,1,2,3,4,45-54,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Female,Some College,Sales and office ,Married with children,California,35.5498046875,-118.91709899902,-1,
R_2RQi0mNUvVS92xu,Default Response Set,Anonymous,,,68.11.233.206,0,2016-04-03 23:17:23,2016-04-03 23:18:57,1,3887206,1,2,3,4,Very Positive,Very Positive,Neutral,1,2,3,4,18-25,Independent,,Democrat,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Neither Agree nor Disagree,Agree,Extremely familiar,Extremely familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",Louisiana,30.428497314453,-91.019500732422,-1,
R_8um9ioV5nB10x0t,Default Response Set,Anonymous,,,98.83.95.114,0,2016-04-03 23:11:19,2016-04-03 23:19:06,1,3312488,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,26-34,Republican,Weak,,,,,,Agree,Agree,,,,,Disagree,Disagree,,,,,,,,,,,,,Moderately familiar,Very familiar,1,2,3,4,Male,Some College,Unemployed,"Single, never married",Alabama,33.41960144043,-86.401397705078,-1,
R_2EF4YnbsVoWfDKv,Default Response Set,Anonymous,,,99.10.172.51,0,2016-04-03 23:16:52,2016-04-03 23:19:15,1,2842713,1,2,3,4,Positive,Neutral,Very Positive,1,2,3,4,26-34,Democrat,Strong,,,,,,Agree,Agree,,,,,Disagree,Agree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Male,4-year College Degree,Other,"Single, never married",Florida,27.249801635742,-80.379699707031,-1,
R_1mWVG8bahsPdJR3,Default Response Set,Anonymous,,,174.59.141.217,0,2016-04-03 23:13:03,2016-04-03 23:19:38,1,2925273,1,2,3,4,Positive,Positive,Neutral,1,2,3,4,18-25,Republican,Strong,,,,,,,,,,,,,,,,,,Agree,Neither Agree nor Disagree,,,,,Agree,Agree,Very familiar,Slightly familiar,1,2,3,4,Female,Some College,Sales and office ,"Single, never married",Pennsylvania,39.893905639648,-76.557998657227,-1,
R_eQf0wyf4qcFI0xz,Default Response Set,Anonymous,,,73.224.39.132,0,2016-04-03 23:16:33,2016-04-03 23:20:24,1,4036991,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,18-25,Democrat,Weak,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Neither Agree nor Disagree,Disagree,Moderately familiar,Slightly familiar,1,2,3,4,Male,2-year College Degree,Sales and office ,"Single, never married",Florida,30.179595947266,-81.518203735352,-1,
R_1OPl4FprJyxJlNL,Default Response Set,Anonymous,,,184.250.34.12,0,2016-04-03 23:16:54,2016-04-03 23:20:35,1,215202,1,2,3,4,Negative,Very Negative,Neutral,1,2,3,4,45-54,Republican,Strong,,,,,,,,,,,,,,,,,,Strongly Disagree,Strongly Disagree,,,,,Strongly Agree,Strongly Agree,Extremely familiar,Very familiar,1,2,3,4,Male,2-year College Degree,"Construction, extraction, and maintenance ","Single, never married",California,37.507904052734,-121.95989990234,-1,
R_2Vauhn7Vr7Cocwt,Default Response Set,Anonymous,,,71.239.42.79,0,2016-04-03 23:15:16,2016-04-03 23:20:41,1,2013182,1,2,3,4,Negative,Positive,Negative,1,2,3,4,45-54,Independent,,Democrat,,,,,Agree,Neither Agree nor Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Slightly familiar,Not familiar at all,1,2,3,4,Female,2-year College Degree,Sales and office ,Married with children,Illinois,41.512893676758,-87.960502624512,-1,
R_1eysQVEOlC14Fi9,Default Response Set,Anonymous,,,68.203.139.206,0,2016-04-03 23:18:03,2016-04-03 23:20:49,1,4940521,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,,,,,Strongly Agree,Agree,Moderately familiar,Slightly familiar,1,2,3,4,Male,4-year College Degree,"Construction, extraction, and maintenance ","Single, never married",Texas,32.81950378418,-96.633796691895,-1,
R_vC6iP3mhIRfdLpv,Default Response Set,Anonymous,,,75.133.156.29,0,2016-04-03 23:18:12,2016-04-03 23:20:57,1,3852440,1,2,3,4,Neutral,Neutral,Positive,1,2,3,4,26-34,Independent,,Democrat,,,,,Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Female,Some College,Other,Married with children,Missouri,37.814605712891,-90.552101135254,-1,
R_33yh5lqGrLSzNUS,Default Response Set,Anonymous,,,131.107.159.48,0,2016-04-03 23:14:28,2016-04-03 23:20:59,1,9911328,1,2,3,4,Positive,Very Positive,Very Negative,1,2,3,4,26-34,Independent,,Republican,,,,,Agree,Agree,,,,,Agree,Disagree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Male,2-year College Degree,"Management, professional, and related ",Married with children,Washington,47.680099487305,-122.12060546875,-1,
R_1irnLcJtj802jkJ,Default Response Set,Anonymous,,,73.178.106.206,0,2016-04-03 23:18:20,2016-04-03 23:21:00,1,1547926,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Democrat,Weak,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Disagree,Neither Agree nor Disagree,Very familiar,Very familiar,1,2,3,4,Female,2-year College Degree,Unemployed,Married with children,New Jersey,40.095596313477,-74.109497070312,-1,
R_33eG8As0upPti38,Default Response Set,Anonymous,,,50.43.59.158,0,2016-04-03 23:19:32,2016-04-03 23:21:53,1,9437830,1,2,3,4,Positive,Positive,Very Positive,1,2,3,4,26-34,Independent,,Republican,,,,,Agree,Agree,,,,,Disagree,Strongly Disagree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,Sales and office ,"Single, never married",Washington,45.58479309082,-122.9116973877,-1,
R_2DSM6I5gzoAVTtJ,Default Response Set,Anonymous,,,97.81.151.242,0,2016-04-03 23:19:19,2016-04-03 23:21:55,1,5663777,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,55-64,Republican,Weak,,,,,,Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Female,Some College,Sales and office ,Married with children,Tennessee,36.490707397461,-82.620002746582,-1,
R_8H8tTl5vCKxjQAh,Default Response Set,Anonymous,,,67.169.13.17,0,2016-04-03 23:20:13,2016-04-03 23:22:30,1,323917,1,2,3,4,Very Positive,Very Positive,Neutral,1,2,3,4,18-25,Democrat,Strong,,,,,,Agree,Strongly Agree,,,,,Disagree,Disagree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Female,4-year College Degree,Other,"Single, never married",California,37.748397827148,-122.4156036377,-1,
R_30kvxjuJQduTU38,Default Response Set,Anonymous,,,65.30.11.24,0,2016-04-03 23:21:12,2016-04-03 23:22:55,1,875256,1,2,3,4,Neutral,Negative,Positive,1,2,3,4,35-44,Independent,,Republican,,,,,Agree,Agree,,,,,Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Very familiar,1,2,3,4,Male,Some College,"Production, transportation, and material moving ",Married with children,Wisconsin,43.08039855957,-88.259201049805,-1,
R_3lGgXHst8Bv0f15,Default Response Set,Anonymous,,,99.49.253.230,0,2016-04-03 23:20:55,2016-04-03 23:23:46,1,9680678,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Democrat,Weak,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Neither Agree nor Disagree,Moderately familiar,Very familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ",Married with children,Illinois,42.456298828125,-87.870399475098,-1,
R_31sbCMCtjoJM7tO,Default Response Set,Anonymous,,,71.88.152.220,0,2016-04-03 23:21:24,2016-04-03 23:23:53,1,3688126,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,18-25,Independent,,Democrat,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly familiar,Slightly familiar,1,2,3,4,Male,High School / GED,"Construction, extraction, and maintenance ","Single, never married",Louisiana,30.533493041992,-92.116302490234,-1,
R_2P743TSgkrvTXna,Default Response Set,Anonymous,,,97.90.30.216,0,2016-04-03 23:21:46,2016-04-03 23:24:31,1,2707657,1,2,3,4,Very Positive,Positive,Very Positive,1,2,3,4,45-54,Independent,,Democrat,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Disagree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Male,Some College,"Management, professional, and related ","Single, never married",California,34.006896972656,-118.03150177002,-1,
R_3LjdmQ9ME1qtWMU,Default Response Set,Anonymous,,,66.31.37.8,0,2016-04-03 23:21:56,2016-04-03 23:24:43,1,7528363,1,2,3,4,Very Positive,Positive,Positive,1,2,3,4,35-44,Independent,,Democrat,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,,,,,Disagree,Disagree,Slightly familiar,Slightly familiar,1,2,3,4,Male,4-year College Degree,Unemployed,Living w/ partner,Massachusetts,42.424697875977,-71.111198425293,-1,
R_1li4UodBLDxwRb6,Default Response Set,Anonymous,,,12.179.165.178,0,2016-04-03 23:21:04,2016-04-03 23:24:59,1,6484638,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,55-64,Democrat,Strong,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Moderately familiar,Extremely familiar,1,2,3,4,Male,Masters Degree,"Management, professional, and related ",Divorced,Florida,28.463806152344,-80.672500610352,-1,
R_AKwWQxwuwO2aS7T,Default Response Set,Anonymous,,,181.166.181.161,0,2016-04-03 23:21:49,2016-04-03 23:25:02,1,3438730,1,2,3,4,Neutral,Negative,Negative,1,2,3,4,18-25,Democrat,Moderate,,,,,,,,,,,,,,,,,,Disagree,Agree,,,,,Disagree,Neither Agree nor Disagree,Not familiar at all,Not familiar at all,1,2,3,4,Female,High School / GED,Unemployed,Living w/ partner,Florida,-34.760894775391,-58.406303405762,-1,
R_1gI5cMZAwpUZt94,Default Response Set,Anonymous,,,141.158.217.27,0,2016-04-03 23:24:36,2016-04-03 23:26:12,1,4320780,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Republican,Weak,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,,,,,Disagree,Agree,Extremely familiar,Very familiar,1,2,3,4,Male,Masters Degree,"Management, professional, and related ","Single, never married",Pennsylvania,40.037902832031,-79.120399475098,-1,
R_1GTWy82SGQmb3xc,Default Response Set,Anonymous,,,107.2.158.61,0,2016-04-03 23:23:54,2016-04-03 23:26:44,1,4071153,1,2,3,4,Neutral,Neutral,Negative,1,2,3,4,45-54,Republican,Strong,,,,,,Strongly Disagree,Strongly Disagree,,,,,Agree,Strongly Agree,,,,,,,,,,,,,Moderately familiar,Slightly familiar,1,2,3,4,Female,High School / GED,Sales and office ,Married with children,Colorado,39.683700561523,-104.91139984131,-1,
R_28UMkRRA496hibF,Default Response Set,Anonymous,,,172.243.175.26,0,2016-04-03 23:24:27,2016-04-03 23:27:52,1,1821418,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Democrat,Strong,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Extremely familiar,Extremely familiar,1,2,3,4,Male,Some College,Service ,Divorced,Missouri,34.948196411133,-90.439903259277,-1,
R_2ZTGyCSPDX4UFVi,Default Response Set,Anonymous,,,75.121.45.98,0,2016-04-03 23:24:22,2016-04-03 23:28:55,1,5779136,1,2,3,4,Very Positive,Positive,Very Positive,1,2,3,4,35-44,Democrat,Weak,,,,,,Agree,Agree,,,,,Disagree,Strongly Disagree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Male,Some College,"Management, professional, and related ",Married with children,Mississippi,34.917999267578,-89.821601867676,-1,
R_2as0JgWckRrBbIw,Default Response Set,Anonymous,,,24.140.55.97,0,2016-04-03 23:24:20,2016-04-03 23:29:16,1,9480765,1,2,3,4,Neutral,Very Negative,Neutral,1,2,3,4,55-64,Democrat,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Neither Agree nor Disagree,Extremely familiar,Very familiar,1,2,3,4,Female,Less than High School,Unemployed,Separated,Ohio,40.818206787109,-81.491798400879,-1,
R_3lx0HKk8bAzL7dX,Default Response Set,Anonymous,,,174.134.218.130,0,2016-04-03 23:26:26,2016-04-03 23:29:33,1,8011571,1,2,3,4,Positive,Positive,Very Positive,1,2,3,4,18-25,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Moderately familiar,Slightly familiar,1,2,3,4,Male,Some College,Unemployed,"Single, never married",California,35.387893676758,-119.02360534668,-1,
R_1JLcMHwR7B28hBp,Default Response Set,Anonymous,,,173.217.96.226,0,2016-04-03 23:29:44,2016-04-03 23:30:48,1,4152561,1,2,3,4,Neutral,Neutral,Very Positive,1,2,3,4,26-34,Republican,Strong,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,,,,,Agree,Agree,Very familiar,Extremely familiar,1,2,3,4,Female,2-year College Degree,Service ,"Single, never married",Louisiana,30.13459777832,-93.273002624512,-1,
R_2Ebi3rHWagCZUH5,Default Response Set,Anonymous,,,74.102.229.133,0,2016-04-03 23:29:01,2016-04-03 23:31:25,1,9568009,1,2,3,4,Very Positive,Very Positive,Neutral,1,2,3,4,35-44,Independent,,Democrat,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,,,,,Strongly Agree,Strongly Agree,Very familiar,Very familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",New Jersey,40.848297119141,-73.972503662109,-1,
R_2RQ6BeodQG3iXtq,Default Response Set,Anonymous,,,174.21.72.216,0,2016-04-03 23:28:33,2016-04-03 23:31:39,1,6673172,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Democrat,Strong,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Moderately familiar,Moderately familiar,1,2,3,4,Female,Some College,Other,Living w/ partner,Washington,47.638107299805,-122.37149810791,-1,
R_1dtokDajiyxYQ77,Default Response Set,Anonymous,,,45.30.24.144,0,2016-04-03 23:29:41,2016-04-03 23:32:16,1,7932340,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,26-34,Independent,,Republican,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Strongly Agree,Strongly Agree,Slightly familiar,Slightly familiar,1,2,3,4,Female,4-year College Degree,Other,Married with children,California,37.875396728516,-121.6867980957,-1,
R_2YsNE6sehzlDgae,Default Response Set,Anonymous,,,24.100.25.225,0,2016-04-03 23:29:29,2016-04-03 23:33:54,1,6672369,1,2,3,4,Positive,Very Positive,Negative,1,2,3,4,45-54,Democrat,Strong,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Agree,Agree,Moderately familiar,Moderately familiar,1,2,3,4,Male,4-year College Degree,Service ,"Single, never married",Kentucky,36.635498046875,-88.282997131348,-1,
